지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
133,대전,2026-01-01 01:00,-7.4,,,,2.1,,360,,62,,2.2,-13.4,1020,,1028.9,,,9,,9,,,0,0,,,4241,,,-3.6,,-.7,.4,2.5,3.3
133,대전,2026-01-01 02:00,-8,,,,1.9,,320,,49,,1.6,-16.8,1019.8,,1028.7,,,9,,9,,,0,0,,,4774,,,-4,,-.8,.3,2.5,3.3
133,대전,2026-01-01 03:00,-8.9,,,,1.2,,340,,48,,1.5,-17.9,1019.6,,1028.6,,,9,,9,,,0,0,,,4816,,,-4.3,,-.9,.2,2.5,3.2
133,대전,2026-01-01 04:00,-9.1,,,,2.7,,320,,45,,1.4,-18.8,1019.5,,1028.5,,,9,,9,,,0,0,,,4832,,,-4.7,,-1.1,.1,2.4,3.2
133,대전,2026-01-01 05:00,-9.9,,,,1.3,,360,,48,,1.4,-18.8,1019.4,,1028.4,,,9,,9,,,0,0,,,4816,,,-5,,-1.3,0,2.4,3.2
133,대전,2026-01-01 06:00,-10.6,,,,1,,340,,53,,1.5,-18.3,1019.3,,1028.3,,,9,,9,,,0,0,,,4911,,,-5.3,,-1.5,-.1,2.3,3.1
133,대전,2026-01-01 07:00,-10.1,,,,.7,,320,,51,,1.5,-18.3,1019.6,,1028.6,,,9,,9,,,0,0,,,4826,,,-5.6,,-1.6,-.2,2.3,3.1
133,대전,2026-01-01 08:00,-10.2,,,,.6,,340,,56,,1.6,-17.3,1019.6,,1028.6,,0,,.01,,,,2,0,Ci,,4707,,,-5.4,,-1.6,-.2,2.3,3.1
133,대전,2026-01-01 09:00,-8.3,,,,1.6,,320,,50,,1.6,-16.8,1019.9,,1028.8,,.1,,.24,,,,8,0,CsCi,,4449,,,-4,,-1.4,0,2.3,3.1
133,대전,2026-01-01 10:00,-6.6,,,,1.3,,360,,45,,1.7,-16.5,1020.1,,1029,,.7,,.69,,,,9,0,Cs,,4751,,,-2.3,,-1.1,.2,2.3,3.1
133,대전,2026-01-01 11:00,-5.5,,,,2.6,,360,,32,,1.3,-19.6,1020,,1028.8,,.5,,.96,,,,9,0,Cs,,5000,,,-1.3,,-.8,.4,2.3,3.1
133,대전,2026-01-01 12:00,-4.2,,,,4.3,,320,,28,,1.3,-20,1019.3,,1028.1,,.8,,1.2,,,,9,0,Cs,,5000,,,-1,,-.7,.4,2.2,3
133,대전,2026-01-01 13:00,-2.8,,,,4.1,,340,,23,,1.1,-21.1,1018.2,,1026.9,,1,,1.45,,,,8,0,CsCi,,5000,,,-.7,,-.4,.6,2.2,3
133,대전,2026-01-01 14:00,-1.6,,,,3.2,,320,,19,,1,-22.2,1017.4,,1026.1,,1,,1.74,,,,4,0,Ci,,5000,,,-.2,,-.3,.7,2.2,3.1
133,대전,2026-01-01 15:00,-1.1,,,,2.8,,320,,18,,1,-22.4,1016.9,,1025.6,,1,,1.48,,,,3,0,Ci,,5000,,,-.4,,-.2,.7,2.2,3
133,대전,2026-01-01 16:00,-1.7,,,,4.5,,320,,19,,1,-22.3,1017,,1025.7,,1,,1.02,,,,1,0,Ci,,5000,,,-.8,,-.4,.5,2.2,3
